seller-sku	fulfillment-channel-sku	asin	condition-type	Warehouse-Condition-code	Quantity Available
V3-W84F-7ZKA	B01K1ULKZC	B01K1ULKZC	NewItem	SELLABLE	50
YH-BYN7SC003NA5	B01N9N18ST	B01N9N18ST	NewItem	SELLABLE	14
YH-BY4834HDU0GM	B01LZYHPDJ	B01LZYHPDJ	NewItem	SELLABLE	11
YH-BYN6AC031N03	B01LYYE28Q	B01LYYE28Q	NewItem	SELLABLE	17
YH-BYN6AH021A34	B01MRFI6T2	B01MRFI6T2	NewItem	SELLABLE	35
YH-BYN6AA017BO35	B01MREIJBR	B01MREIJBR	NewItem	SELLABLE	30
YH-BY48346T108C	B01MA0LUAV	B01MA0LUAV	NewItem	SELLABLE	0
YH-BYN6AS018N04	B01M5KGAEF	B01M5KGAEF	NewItem	SELLABLE	28
YH-BYN6AW015RW5	B01LY3PR1A	B01LY3PR1A	NewItem	SELLABLE	53
YH-BY4834THI419	B01M262TW3	B01M262TW3	NewItem	SELLABLE	26
YH-BYN6AW021NO6	B01N3TRBJM	B01N3TRBJM	NewItem	SELLABLE	0
YH-BYN7SC004GA6	B01N341EDI	B01N341EDI	NewItem	SELLABLE	49
YH-BY4834P7K00S	B01M2U4CX7	B01M2U4CX7	NewItem	SELLABLE	0
YH-BYN6AC047B33	B01MD238BG	B01MD238BG	NewItem	SELLABLE	26
YH-BYN7SC012R97	B01MZBBIMY	B01MZBBIMY	NewItem	SELLABLE	0
YH-BYN7SC001R96	B01N2505TF	B01N2505TF	NewItem	SELLABLE	19
YH-BYN6AS019NO5	B01MRH93EH	B01MRH93EH	NewItem	SELLABLE	37
YH-BYN6AC029W05	B01LYLK6DF	B01LYLK6DF	NewItem	SELLABLE	13
YH-BYN6AC035B13	B01LQ4IZR8	B01LQ4IZR8	NewItem	SELLABLE	41
YH-BYN7SC012G27	B01MY9SVEA	B01MY9SVEA	NewItem	SELLABLE	0
YH-BY483432K8CZ	B01MQIVEPB	B01MQIVEPB	NewItem	SELLABLE	0
YH-BY4834DMT04I	B01LATU4EG	B01LATU4EG	NewItem	SELLABLE	0
